Feature,Transgenic_tdTOM_598_01,Transgenic_tdTOM_601_03,Transgenic_tdTOM_599_02,Transgenic_BioID2P2AtdTOM_552_01,Transgenic_tdTOM_580_04,Transgenic_BioID2P2AtdTOM_507_02,Transgenic_BioID2P2AtdTOM_584_05,Transgenic_BioID2P2AtdTOM_551_04,WT_tdTOM_607_02,WT_tdTOM_606_01,WT_tdTOM_525_04,WT_tdTOM_495_03,WT_BioID2P2AtdTOM_589_02,WT_BioID2P2AtdTOM_494_01,WT_BioID2P2AtdTOM_605_03
EPHA2_MOUSE|Q03145,15.3374,15.3859,15.3158,16.4603,15.185,16.3498,16.6108,16.2241,15.4759,15.3731,15.1457,15.1085,16.3105,16.2083,16.4558
EPHA3_MOUSE|P29319,13.0091,13.0123,13.0095,14.0064,12.9868,13.9479,14.2595,13.843,13.4191,13.1605,12.8386,13.019,14.0182,13.7875,13.8975
EPHA4_MOUSE|Q03137,13.1891,13.3017,13.2631,14.1281,13.185,14.248,14.7307,14.1233,13.5521,13.5174,12.9478,13.0736,14.2079,13.9451,14.2961
EPHA5_MOUSE|Q60629,12.4544,12.5841,12.3912,13.1142,12.6942,13.1695,13.5117,13.2242,12.7161,12.8364,12.5032,12.7455,13.4463,13.2146,13.1202
EPHB1_MOUSE|Q8CBF3,11.9217,12.3818,12.1296,12.9178,12.0397,13.0995,13.4283,12.9108,12.4065,12.5926,12.1722,12.0775,13.0248,13.1028,13.0619
EPHB2_MOUSE|P54763,11.7656,11.9434,11.7378,12.7725,11.9604,12.846,12.8419,12.7327,11.7561,12.4144,11.7041,11.9347,12.6606,12.3906,12.6491
EPHB3_MOUSE|P54754,10.6859,11.0205,10.6389,11.5011,10.6745,11.7194,12.1688,11.1823,11.4011,11.1949,10.9482,11.3821,11.8262,11.6789,11.9113
EPMIP_MOUSE|Q8VEH5,12.5791,12.6859,12.4623,14.0884,12.5284,14.1883,14.1834,13.9362,13.1112,12.8705,12.3407,12.2285,14.0709,13.9602,14.0699
EPN1_MOUSE|Q80VP1,12.413,12.1273,12.3688,15.0556,12.4699,15.3719,14.9193,15.4328,13.34,12.9182,12.7811,11.9876,15.1098,15.1652,15.3482
EPN2_MOUSE|Q8CHU3,11.7666,11.5698,11.6808,14.9326,11.7045,14.9511,14.6398,15.3054,11.8565,11.5895,12.1426,11.6107,14.8234,15.0144,14.6861
EPN2_MOUSE|Q8CHU3-2,12.6633,12.8334,12.6515,16.4933,12.6304,16.3573,15.9748,16.538,12.7482,12.7901,13.2673,12.1497,16.3238,16.5843,16.1041
EPN4_MOUSE|Q99KN9,12.1401,12.0607,12.2685,16.6459,12.539,16.6741,16.0726,16.9993,12.4861,11.3283,12.6939,12.2023,16.6476,16.7328,16.5934
EPS15_MOUSE|P42567,13.2607,13.3123,13.3072,15.5964,13.4457,15.3366,15.5151,15.4908,13.2837,13.8247,13.1839,13.0358,15.5124,15.4489,15.3786
EPS8_MOUSE|Q08509,12.2929,12.4909,12.3497,14.4692,12.4123,14.7549,14.3131,14.9212,12.8754,12.3682,12.3371,12.1948,14.6684,14.7327,14.4855
ERBB4_MOUSE|Q61527,10.7056,10.9213,10.7002,13.2051,10.7721,13.0436,13.0242,13.1349,10.8672,11.2061,10.4637,10.8896,13.2008,12.8989,12.7978
ERBIN_MOUSE|Q80TH2,11.0776,11.0322,11.0281,15.314,11.46,15.3239,14.7749,15.4017,11.0234,11.5574,11.765,11.4204,15.4045,15.4839,14.7866
ERC2_MOUSE|Q6PH08,11.3747,11.358,11.2851,16.1964,11.9213,16.1171,15.8356,16.4149,11.5939,11.4048,12.1292,11.7796,16.0992,16.3162,15.9252
ERCC5_MOUSE|P35689,10.1101,9.88312,10.1022,13.4917,9.69283,13.4797,12.5676,13.0836,10.2647,10.056,8.86123,9.63861,13.3932,13.3434,12.8541
ERF1_MOUSE|Q8BWY3,14.896,14.9358,14.8603,14.9318,14.7455,15.0552,14.933,14.9526,14.8631,14.5952,14.4151,14.5444,14.8275,14.7893,15.0814
