"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04136","mmu04136","Autophagy - other","12/1003","32/8997",9.2883668402264e-05,0.000789511181419244,0.000567622418013836,"74370/51897/329015/76559/67841/50540/18518/56717/75669/225326/29869/74781",12
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","65/1003","369/8997",0.000103026407573287,0.000852056235606101,0.000612589450435759,"14810/56444/51897/329015/76559/20239/233871/12367/12460/68942/12864/16594/13191/69654/67665/218210/20511/13869/233908/14799/14800/15114/15185/16572/16574/16573/16593/74764/17184/26397/56717/380684/18039/18040/14811/14812/18125/641340/103468/227720/18141/18226/19069/269966/75669/225326/107939/19055/19056/19182/19181/19185/67790/12421/19386/229279/237782/18412/230908/53857/238463/108989/29869/56491/74781",65
"mmu04722","mmu04722","Neurotrophin signaling pathway","28/1003","121/8997",0.000118400905474768,0.000953438870402077,0.000685478926432866,"11350/109880/12928/12929/108058/56484/327826/56637/16367/12322/12323/12325/12326/20111/20112/73086/94275/26414/18212/18213/18803/19247/107746/77480/110157/20399/20418/20662",28
"mmu05135","mmu05135","Yersinia infection","30/1003","134/8997",0.000130076829500702,0.00102060281608243,0.00073376673051678,"54126/69632/108100/12927/12928/12929/140580/140579/14083/19229/56637/20111/20112/16885/26409/26414/26397/26398/16151/18720/18719/18717/320795/109333/18803/19878/68652/73178/68524/330319",30
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","27/1003","116/8997",0.000140338651642294,0.00105484797806925,0.000758387435213189,"224129/11512/11514/11515/12927/12288/12928/12929/14083/56637/16367/384783/16438/18750/26414/26397/26398/56717/18795/18797/18803/18798/110157/20418/20662/20846/20848",27
"mmu04022","mmu04022","cGMP-PKG signaling pathway","36/1003","173/8997",0.000143222145126158,0.00105484797806925,0.000758387435213189,"224129/11512/11514/11515/11928/98660/11931/11938/67972/11941/12288/20541/14673/14674/14886/16367/384783/16438/16531/18754/17258/17261/107589/17931/207728/18795/18797/19045/19055/19056/234889/381290/320707/18798/110157/19878",36
"mmu04971","mmu04971","Gastric acid secretion","20/1003","75/8997",0.000144783055813427,0.00105484797806925,0.000758387435213189,"224129/11512/11514/11515/11928/98660/11931/20535/108058/16438/12322/12323/12325/16526/18750/107589/18795/18797/18798/20544",20
"mmu04015","mmu04015","Rap1 signaling pathway","42/1003","214/8997",0.000165783177751131,0.00117975935794991,0.000848193002447646,"76089/14810/110351/224129/11512/11514/11515/192786/12927/109880/12928/12929/12387/12388/238130/13800/13836/14026/16590/18750/14924/50791/99470/26397/14811/14812/93742/18795/18797/18803/107746/70549/18798/110157/56044/64143/51791/56508/217692/244668/20469/21844",42
"mmu05010","mmu05010","Alzheimer disease","66/1003","383/8997",0.000177619078152817,0.00123525995260822,0.000888095390764083,"14810/12669/11785/11789/11836/11938/51897/329015/76559/12005/109880/12288/12334/12367/12864/13000/13001/12387/16594/13542/13543/13544/15925/108071/56637/16367/384783/16438/93687/27373/16572/16574/16573/16593/74764/26414/56717/16151/14811/14812/18125/641340/75669/225326/18795/18797/19055/19056/67738/19182/19181/19185/18798/110157/12421/20168/68585/227059/277468/20617/17762/53857/238463/234664/29869/74781",66
"mmu04725","mmu04725","Cholinergic synapse","26/1003","112/8997",0.000193944289489521,0.00131428678202882,0.000944912065510918,"12669/12672/224129/11512/11514/11515/12286/12287/12288/12647/108058/16438/12322/12323/12325/12326/16519/16522/16536/110862/226922/18750/18795/18797/18798/63993",26
