"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04014","mmu04014","Ras signaling pathway","52/1416","235/8997",0.00560068168214294,0.0150787583750002,0.00786060586967431,"11350/11352/11651/23797/12048/12540/226525/13836/14693/14696/14701/14704/14708/14784/18749/18750/18751/18752/16706/26413/26417/26395/26396/16151/18015/18212/18479/18803/19247/26414/218397/271457/19344/19345/19353/19354/170758/56044/64143/109905/215449/114713/19414/15461/16653/19415/11848/225870/20130/56392/20662/21844",52
"mmu00640","mmu00640","Propanoate metabolism","11/1416","31/8997",0.0056694634963488,0.0151345847572023,0.00788970834460672,"11409/80911/68738/56690/13382/97212/52665/227095/16832/13171/12039",11
"mmu04210","mmu04210","Apoptosis","33/1416","136/8997",0.006076670101769,0.0160650527344418,0.00837476433274158,"11461/26926/11651/23797/12048/20740/12028/12333/12334/12367/13030/13033/64138/66593/13665/16438/16905/16906/26408/26413/26417/26395/26396/16151/11545/18607/26414/15461/16653/22142/22144/22145/53857",33
"mmu05410","mmu05410","Hypertrophic cardiomyopathy","24/1416","91/8997",0.00612002008931115,0.0160650527344418,0.00837476433274158,"108097/19082/108079/11461/12293/56808/12294/12295/12297/12298/54376/81905/13346/13405/16772/20541/16403/16404/16410/16773/16905/320910/22004/59069",24
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","26/1416","101/8997",0.00626461883661261,0.0163087184589502,0.00850178806882616,"11651/23797/12028/12367/12540/13367/18750/18751/18753/18754/26413/26417/18795/18797/18799/18802/18803/26414/19353/15461/16653/17126/20846/20848/14066/22329",26
"mmu00561","mmu00561","Glycerolipid metabolism","18/1416","63/8997",0.00689032392329097,0.0177905904576775,0.00927429276991709,"193742/69923/11671/110695/380921/320127/13350/217480/56077/110197/104418/331374/14626/225010/67216/55979/68262/52123",18
"mmu00330","mmu00330","Arginine and proline metabolism","16/1416","54/8997",0.00724322445046245,0.0185497211536233,0.00967003007507182,"14718/11671/212647/110695/66988/109731/11846/66054/14431/67092/12709/12715/18242/66194/20810/20603",16
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","11/1416","32/8997",0.00743451994368935,0.0188860788892108,0.00984537445853598,"11428/68738/12359/12974/13382/104174/76238/17448/224530/110460/110446",11
"mmu05235","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","23/1416","88/8997",0.00807014027772866,0.0203367534998762,0.0106016158595846,"11651/23797/12995/13001/78798/16451/72508/26413/26417/26395/26396/26399/56717/16151/18803/19055/19056/19211/19247/15461/16653/20846/20848",23
"mmu01522","mmu01522","Endocrine resistance","24/1416","93/8997",0.0081525363818791,0.0203813409546977,0.0106248594450555,"27413/11512/11651/23797/12028/109880/59035/14083/14683/14784/18749/72508/19014/26413/26417/26395/26396/56717/26414/11836/15461/16653/20662/20779",24
