"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05135","mmu05135","Yersinia infection","65/2181","134/8997",7.25285551054192e-10,5.54325385448561e-09,2.90841323731004e-09,"11461/11651/23797/56443/11867/11845/16801/54126/69632/66713/74117/242894/74192/76709/56378/68089/67771/108100/12927/12540/12928/12929/330662/140580/140579/14083/19229/14682/56637/16412/20111/20112/16885/26409/26413/26417/26419/26420/26414/26395/26396/26397/26398/26399/26400/16151/18720/18719/18717/320795/109333/18803/19878/19353/19354/170758/11848/56212/19877/20779/68652/56480/73178/68524/330319",65
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","43/2181","76/8997",1.41630129613642e-09,1.03735379263451e-08,5.44274821516715e-09,"11461/56443/11867/66713/74117/242894/74192/76709/56378/68089/67771/12927/12402/12488/12540/12757/74325/67300/12928/12929/12385/12386/12387/622434/330662/13429/13430/103967/140580/140579/14083/14388/16202/16412/19353/11848/56212/20418/20779/13043/22330/83767/73178",43
"mmu04921","mmu04921","Oxytocin signaling pathway","71/2181","153/8997",1.42191797121242e-09,1.03735379263451e-08,5.44274821516715e-09,"108097/19082/105787/108079/11461/432530/224129/11512/11514/11515/12293/56808/12294/12288/12295/12297/12298/70405/19058/12300/54376/81905/13629/108058/14677/14678/14679/14681/14682/14683/16438/18747/18749/52163/12322/12323/12325/12326/16519/16522/207565/18750/18751/18752/17260/26413/26417/26395/26396/17904/216459/17931/18795/18797/232807/19045/19046/19055/19056/234889/19878/54720/18798/110157/15461/16653/11848/19877/20190/20191/20779",71
"mmu05032","mmu05032","Morphine addiction","48/2181","91/8997",3.82433266764845e-09,2.72802396958922e-08,1.43132918555263e-08,"432530/224129/11512/11514/11515/109689/216869/12286/12287/54393/242425/14688/14693/14696/14701/14702/14704/14708/14394/14396/14397/14400/14401/14402/14406/14677/14678/14679/14681/14683/26385/18747/18749/16519/16522/18750/18751/18752/23984/18573/18574/18575/207728/18577/238871/218461/18578/22348",48
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","36/2181","61/8997",6.60264927648354e-09,4.60750090815482e-08,2.41744595935324e-08,"11512/11515/11771/11772/71770/11773/232910/11928/98660/232975/11931/11932/11933/67972/11941/12307/12757/74325/67300/13429/13430/103967/20541/14682/14683/18747/18749/18750/18751/18752/18795/18797/381290/320707/18798/53869",36
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","69/2181","152/8997",7.60463744540433e-09,5.19380557441444e-08,2.72506604986493e-08,"226849/26932/26931/51792/71978/432530/224129/11512/11514/11515/11651/23797/11928/98660/232975/11931/11932/11933/11937/11938/53313/67972/11941/12293/56808/12294/12288/12295/12297/12298/70405/12300/54376/81905/108058/20541/14677/14678/14679/14682/14683/18747/18749/12322/12323/12325/18750/73086/26413/26417/18795/18797/19045/19046/19052/19053/58200/381290/21770/22003/320707/18798/56508/20191/20266/399548/20544/59069/326618",69
"mmu00562","mmu00562","Inositol phosphate metabolism","40/2181","72/8997",1.08518275779919e-08,7.1530627512855e-08,3.75304161405371e-08,"52858/104015/18711/55980/269180/234515/64436/16329/228550/104776/53332/77116/74302/219135/54384/320634/18704/18718/108083/117150/107650/18720/18719/18717/170835/225326/18795/18797/18799/18802/18803/269615/19211/212111/18798/83493/101490/16332/20975/21991",40
"mmu00071","mmu00071","Fatty acid degradation","32/2181","52/8997",1.09190054458875e-08,7.1530627512855e-08,3.75304161405371e-08,"11363/11364/11409/11370/94180/66885/80911/14081/74205/50790/216739/11532/72535/11671/110695/56752/11669/12894/78070/12896/97212/231086/93747/13177/23986/270076/15107/224530/110460/113868/110446/52538",32
"mmu00010","mmu00010","Glycolysis / Gluconeogenesis","38/2181","67/8997",1.16903288774342e-08,7.50519113931277e-08,3.93779499029363e-08,"353204/68738/60525/11532/72141/58810/72535/11671/67689/110695/56752/11669/11674/11676/13382/13806/13807/14433/14447/216019/15275/18746/16828/16832/235339/18597/68263/74551/18641/18642/56421/18648/56012/18655/72157/66681/12183/21991",38
"mmu04371","mmu04371","Apelin signaling pathway","63/2181","137/8997",1.84981786487633e-08,1.16429712671628e-07,6.10878964665042e-08,"108097/19082/105787/108079/11475/432530/224129/11512/11514/11515/11651/23797/70405/20541/14688/14693/14696/14701/14702/14704/14708/14674/14677/14678/14679/14682/208727/15184/16438/18747/18749/12326/18754/72508/17258/17260/17261/26413/26417/66734/67443/26395/26396/56717/18125/18787/75669/225326/18795/18797/18798/110157/15461/16653/20130/66922/20104/20190/20191/20544/17126/56632/21780",63
