"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04916","mmu04916","Melanogenesis","37/1582","100/8997",2.7164573861656e-06,1.37575422460645e-05,7.01021260945962e-06,"432530/224129/11512/11514/11515/70405/12914/12387/13542/13543/13544/108058/14678/14679/14681/14682/14683/56637/18747/18749/12322/12323/12325/16590/18750/18751/18752/26413/26417/26395/26396/18795/18797/18798/110157/15461/16653",37
"mmu04024","mmu04024","cAMP signaling pathway","66/1582","220/8997",3.41275595218593e-06,1.70096090315299e-05,8.66731670396426e-06,"12669/432530/224129/11512/11514/11515/11651/23797/11928/232975/11933/11937/11938/53313/67972/11941/53623/330953/109880/12288/70405/12914/108058/18479/54393/242425/14678/14679/14683/14802/15166/18747/18749/12322/12323/12325/12326/26413/26417/26419/26420/26414/26395/26396/17931/14812/109648/18577/238871/56188/19049/239273/19878/381290/320707/18578/19353/170758/110157/109905/215449/11848/56508/66922/20544/21844",66
"mmu04971","mmu04971","Gastric acid secretion","30/1582","75/8997",3.77883656126466e-06,1.85399168787047e-05,9.44709140316165e-06,"11461/432530/224129/11512/11514/11515/11928/232975/11933/20535/70405/22350/108058/14678/14679/14682/14683/18747/18749/12322/12323/12325/16526/18750/18751/18752/18795/18797/18798/20544",30
"mmu03040","mmu03040","Spliceosome","45/1582","134/8997",5.09064971320675e-06,2.45917539991834e-05,1.25308300632782e-05,"56215/56009/71702/27967/74351/72047/13207/233908/15381/76936/15512/76522/23983/68479/68816/54633/28000/68988/70052/68879/192159/70767/66810/60365/19655/229279/20638/20637/68981/81898/66055/107686/67332/66585/53607/20227/66354/57317/20384/225027/108014/331401/21681/108121/20624",45
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","17/1582","32/8997",5.27283022319652e-06,2.50858892436925e-05,1.27826187229007e-05,"11428/11429/68738/60525/12359/12974/13382/104174/14645/76238/17449/17448/67078/108037/71832/224530/110446",17
"mmu04014","mmu04014","Ras signaling pathway","68/1582","235/8997",9.55719312911213e-06,4.47904275006151e-05,2.2823147771014e-05,"11350/11352/11651/23797/72399/70405/12540/66482/14164/18479/14388/14389/14688/14693/14696/14702/14704/14708/14784/18747/18749/16590/18750/18751/18752/16706/333050/26413/26417/26419/26420/26414/26395/26396/14812/18212/224105/18481/214230/19247/218397/271457/19344/19345/19353/170758/110157/56044/64143/109905/215449/114713/19414/15461/16653/19415/19765/56784/11848/225870/228850/66922/20418/56392/20662/240057/56480/21844",68
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","25/1582","61/8997",1.45554144313867e-05,6.72117666390505e-05,3.42480339562041e-05,"11512/11515/11771/11928/232975/11933/67972/11941/12757/74325/13430/20541/14682/14683/18747/18749/18750/18751/18752/18795/18797/381290/320707/18798/53869",25
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","29/1582","76/8997",1.61551333552295e-05,7.35175633846674e-05,3.7461178794735e-05,"11461/56443/66713/242894/74192/56378/67771/12927/12488/12540/12757/74325/12929/12385/12386/12387/330662/13430/140580/140579/14083/14388/16412/19353/11848/56212/20418/83767/73178",29
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","25/1582","62/8997",2.03618636190699e-05,9.13375025198278e-05,4.65414025578741e-05,"108097/19082/105787/108079/432530/224129/11512/11514/11515/11651/23797/67605/12359/20480/56484/15182/15512/16367/384783/18747/18749/72508/15461/16653/20655",25
"mmu01210","mmu01210","2-Oxocarboxylic acid metabolism","12/1582","20/8997",2.61843792189354e-05,0.000115801339080926,5.90070517609812e-05,"11428/11429/76282/108682/12035/12974/67834/15926/15929/269951/71832/170718",12
