"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04720","mmu04720","Long-term potentiation","46/2188","67/8997",1.89384806189056e-14,2.86782706514856e-13,1.46191780216113e-13,"14810/432530/11514/11836/109880/12288/70405/19058/12914/108058/14682/14799/14800/14816/108071/16438/18747/18749/12322/12323/12325/12326/18750/18751/18752/20111/20112/26413/26417/26395/26396/14811/14812/18795/18797/19045/19046/19055/19056/58200/18798/110157/109905/215449/15461/16653",46
"mmu00190","mmu00190","Oxidative phosphorylation","73/2188","135/8997",7.48331994552925e-14,1.08167988303559e-12,5.51402522302155e-13,"192113/71679/27425/11946/11947/66043/11949/57423/28080/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/67895/74776/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/66945/67680/66694/11972/11964/11966/66335/73834/11973/66144/66237/108664/11984/11975",73
"mmu04140","mmu04140","Autophagy - animal","75/2188","142/8997",1.73039888333515e-13,2.39246454304599e-12,1.21959463630944e-12,"77040/74370/105787/108079/11651/23797/67605/51897/329015/76559/67841/66615/74244/12048/13030/13033/13144/93739/15289/13665/50540/18518/16367/384783/16438/18747/18749/207565/18753/72508/16783/26409/26413/26417/26419/26420/26414/66734/67443/26395/26396/74302/56717/641340/18607/75669/225326/19052/19053/19211/245860/17274/110157/15461/16653/19338/67790/12421/19744/68441/245670/54170/20130/66922/54673/237782/67474/18412/20869/56480/64930/22084/29869/74781/217695",75
"mmu04810","mmu04810","Regulation of actin cytoskeleton","102/2188","220/8997",4.70637746758891e-13,6.23595014455531e-12,3.1788689912662e-12,"109711/50884/329165/12669/12672/11461/60595/11789/11836/56443/11867/16801/73341/54126/69632/66713/74117/242894/74192/76709/56378/68089/67771/108100/12927/109880/12540/12631/12632/12928/12929/20430/76884/13367/54004/330662/13800/22350/14083/14163/18711/18479/14701/227753/216963/14673/14674/29875/544963/16403/16404/16410/16412/16885/26413/26417/67938/17698/26395/26396/77579/71960/17886/107589/17931/224105/18481/214230/18718/108083/117150/18720/18719/18717/232807/19045/19046/18643/18645/320910/19878/19353/19354/170758/19684/110157/15461/16653/232906/11848/19877/20130/66922/20544/20662/20779/237860/14061/21844/22330/83767/73178",102
"mmu03050","mmu03050","Proteasome","35/2188","47/8997",5.64042315364927e-13,7.17461825144187e-12,3.65736911857679e-12,"56436/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/19186/19188/19192",35
"mmu00280","mmu00280","Valine, leucine and isoleucine degradation","39/2188","57/8997",2.24321014162322e-12,2.74361855783148e-11,1.39860065510112e-11,"58875/78894/66948/11364/11409/66885/257633/72535/11671/110695/56752/11669/11992/12035/12036/13382/97212/231086/93747/268860/15108/15107/227095/208715/15356/56357/72039/78038/104776/13171/12039/110821/66904/224530/67041/110460/113868/110446/52538",39
"mmu04728","mmu04728","Dopaminergic synapse","70/2188","135/8997",3.56475501918238e-12,4.1984892448148e-11,2.1402427795481e-11,"226849/26932/26931/51792/71978/224129/11651/23797/17161/109731/109689/216869/53623/12286/12287/12288/70405/12846/13195/108058/14688/14693/14696/14701/14702/14704/14677/14678/14679/14680/14681/14682/14683/14799/14800/14802/606496/56637/16438/18747/18749/12322/12323/12325/16519/16522/16572/16574/16573/18750/18751/18752/26419/26420/26414/14811/14812/18795/18797/19045/19046/19052/19053/19055/19056/19049/21770/18798/13162/21823",70
"mmu04540","mmu04540","Gap junction","51/2188","86/8997",4.106654446802e-12,4.66398612172513e-11,2.37753678499063e-11,"432530/224129/11512/11514/11515/21872/14609/22154/14672/14677/14678/14679/14682/14683/14784/14816/108071/16438/18747/18749/104318/18750/18751/18752/26413/26417/26395/26396/18795/18797/234889/18798/110157/15461/16653/20662/20779/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951",51
"mmu04360","mmu04360","Axon guidance","86/2188","181/8997",6.41377459275325e-12,7.03303558791564e-11,3.58519523515064e-11,"11350/226251/231148/319713/69632/12168/19058/12540/12568/12631/12632/13176/12934/65254/259302/13642/13800/13836/13837/13838/13839/270190/13844/13845/108058/14083/14360/18479/14677/14678/14679/56637/16202/16412/12322/12323/12325/18750/16728/16885/241568/26413/26417/67938/17973/17974/18007/53972/224105/18481/214230/93742/18607/18803/18844/18845/243743/235611/54712/19055/19056/19247/19878/218397/19353/19354/170758/110157/15461/16653/11848/19876/268902/19877/20130/20351/20354/20355/20359/20361/20779/117600/14270/237860/107448/22253",86
"mmu00620","mmu00620","Pyruvate metabolism","32/2188","44/8997",1.64943536879785e-11,1.74840149092572e-10,8.9127384840305e-11,"107476/68738/60525/66204/75572/11532/58810/72535/11671/110695/56752/11669/13382/14651/76238/18746/16828/16832/109801/107029/109264/17436/17449/17448/235339/18597/68263/74551/18563/224530/110460/110446",32
